Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,281,111,5,3.8,4.3,6.37,0,0.76
2,287,93,5,3.7,3.5,9.25,1,0.97
3,323,112,4,3.6,2.6,8.26,0,0.62
4,292,101,4,2.7,4.4,7.14,0,0.74
5,280,101,3,2.3,3.6,6.61,1,0.68
6,283,83,4,2.2,5.0,6.18,0,0.87
7,290,117,1,5.0,3.8,8.16,1,0.91
8,290,90,3,3.9,3.8,6.25,1,0.52
9,313,101,4,4.6,3.9,7.08,1,0.84
10,323,111,3,4.5,4.2,6.51,0,0.86
11,331,108,1,4.1,3.5,8.74,1,0.65
12,313,113,4,5.0,4.6,9.08,1,0.9
13,323,99,2,4.7,2.9,8.83,1,0.98
14,305,115,2,4.7,2.9,9.83,1,0.89
15,305,106,2,4.7,3.6,9.66,0,0.74
16,327,118,3,3.8,3.9,8.67,1,0.62
17,299,108,1,3.0,2.4,6.47,0,0.73
18,326,83,5,4.2,3.7,8.19,1,0.54
19,287,86,5,4.7,2.5,6.05,0,0.89
20,324,118,2,4.3,2.2,8.31,1,0.58
21,312,91,4,2.2,4.4,8.74,0,0.69
22,339,109,4,3.2,3.7,8.53,1,0.61
23,311,106,4,3.6,4.8,6.16,0,0.62
24,329,98,2,2.1,3.4,7.75,0,0.83
25,291,100,1,2.1,4.4,8.53,1,0.95
26,280,104,4,4.6,4.2,7.34,1,0.74
27,318,107,1,3.1,3.8,6.13,0,0.64
28,280,91,3,2.3,2.7,6.5,0,0.89
29,288,94,2,2.4,3.2,7.06,1,0.78
30,299,114,3,3.8,2.2,7.15,1,0.67
31,308,83,5,4.0,4.2,9.53,0,0.75
32,304,119,3,3.3,3.6,8.38,1,0.77
33,337,117,1,3.2,3.4,7.77,1,0.71
34,285,105,1,4.0,3.5,9.29,1,0.54
35,330,114,1,2.1,3.1,8.07,0,0.78
36,317,104,3,3.8,3.0,8.55,0,0.77
37,291,92,4,4.1,4.5,8.49,0,0.9
38,325,81,5,3.9,3.5,7.31,0,0.55
39,321,89,3,3.2,2.1,9.97,1,0.67
40,334,95,5,4.6,3.5,6.13,1,0.84
41,305,120,1,3.1,3.4,7.24,0,0.94
42,331,101,2,4.4,2.6,6.8,1,0.81
43,308,117,5,4.0,3.6,7.34,1,0.89
44,286,111,4,2.5,2.2,8.12,0,0.96
45,312,101,5,2.9,4.8,6.73,1,0.64
46,308,92,3,4.4,2.5,6.95,0,0.61
47,330,102,5,2.3,4.1,9.65,1,0.56
48,335,86,3,2.1,4.9,6.35,1,0.68
49,319,111,5,4.2,2.2,8.89,1,0.58
50,312,100,2,2.3,4.4,7.34,1,0.51
51,321,120,4,3.1,4.2,7.91,0,0.58
52,311,95,4,3.5,4.6,9.41,1,0.57
53,312,116,5,4.1,2.9,9.74,1,0.57
54,330,86,3,3.6,2.1,9.12,1,0.65
55,325,84,3,4.5,3.7,7.99,0,0.64
56,315,82,3,3.7,2.0,8.42,0,0.61
57,302,109,3,4.4,4.6,7.85,1,0.74
58,300,106,2,3.3,3.9,6.62,0,0.98
59,314,93,1,4.8,2.6,8.94,0,0.59
60,307,93,5,2.5,2.5,6.29,0,0.83
61,312,112,4,2.1,2.3,7.85,1,0.93
62,292,97,1,3.0,4.3,8.91,0,0.98
63,331,99,5,2.3,4.3,8.27,0,0.92
64,319,110,1,3.1,3.1,9.51,0,0.54
65,289,112,2,3.7,2.7,8.71,0,0.75
66,297,87,3,3.7,3.2,7.95,1,0.98
67,306,86,2,3.3,3.0,9.59,1,0.98
68,316,103,3,4.6,2.9,7.47,0,0.52
69,315,97,5,2.1,2.5,9.03,1,0.79
70,300,113,2,4.8,2.1,8.47,0,0.62
71,320,101,5,2.6,2.7,9.48,1,0.9
72,328,91,1,3.3,3.5,7.39,1,0.69
